"gene_name","cells_above_default_threshold","max_avg_expression","above_default_threshold"
"Gm28653",0,0.083333,FALSE
"4933415F23Rik",1,0.387454,TRUE
"4931408C20Rik",16,1.921384,TRUE
"Gm597",8,0.707547,TRUE
"Ptp4a1.1",0,0.01992,FALSE
"Gm5698",0,0.004405,FALSE
"4931428L18Rik",24,10.117647,TRUE
"Gm28644",0,0.058824,FALSE
"Pih1d3",0,0.235294,FALSE
"Gm5415",2,0.356009,TRUE
"2010300C02Rik",2,0.266667,TRUE
"Gm8251",27,11.330606,TRUE
"Gm553",0,0.237968,FALSE
"Fam126b",35,1.571429,TRUE
"1700122D07Rik",0,0.133333,FALSE
"Gm20342",0,0.2,FALSE
"Gpr1",0,0.208333,FALSE
"Gm39653",0,0.041667,FALSE
"March4",2,0.268908,TRUE
"1700027A15Rik",59,3.282869,TRUE
"6030407O03Rik",0,0.2,FALSE
"Gm29069",0,0.018868,FALSE
"2310015K22Rik",0,0.00463,FALSE
"Gm29125",0,0.000818,FALSE
"C130026I21Rik",0,0.2,FALSE
"A530032D15Rik",0,0.022576,FALSE
"Iqca",6,0.926984,TRUE
"Olfr1413",0,0.083333,FALSE
"Sept2",4,0.571429,TRUE
"D1Ertd622e",19,0.666667,TRUE
"Dars",20,0.712644,TRUE
"Gm15674",4,0.647059,TRUE
"Gm10188",0,0.030544,FALSE
"Gm38394",0,0.066667,FALSE
"Gm1627",0,0.00275,FALSE
"Chil1",0,0.018868,FALSE
"4933406M09Rik",2,0.347942,TRUE
"Gm4258",0,0.240377,FALSE
"Gm26979",0,0.013889,FALSE
"Gm26930",0,0.001835,FALSE
"A430106G13Rik",0,0.2,FALSE
"Gm4788",0,0.008403,FALSE
"Fam129a",0,0.201258,FALSE
"C230024C17Rik",2,0.285714,TRUE
"Gm29291",0,0.000818,FALSE
"Gm28286",0,0.001757,FALSE
"Gm2000",0,0.2,FALSE
"Eef1aknmt",2,0.333333,TRUE
"Mettl11b",0,0.009524,FALSE
"BC055324",13,0.866667,TRUE
"Gm32569",0,0.076923,FALSE
"Dusp27",0,0.142857,FALSE
"Gm16701.1",0,0.083333,FALSE
"Gm10522",0,0.025368,FALSE
