,lr_pair,pathway,X_DARK_score,X_PALE_score,X_PALE2WEAK_score,X_WEAK2STRONG_score
TGFB1_TGFBR1_TGFBR2,TGFB1_TGFBR1_TGFBR2,TGFb,0.0028852,0.00063404,0.00062559,0.001035604
TGFB2_TGFBR1_TGFBR2,TGFB2_TGFBR1_TGFBR2,TGFb,0,0,2.23E-05,0
TGFB3_TGFBR1_TGFBR2,TGFB3_TGFBR1_TGFBR2,TGFb,0.000696428,0.000554785,0.000335137,0.000376583
TGFB1_ACVR1B_TGFBR2,TGFB1_ACVR1B_TGFBR2,TGFb,0.0028852,0.00063404,0.00062559,0.001035604
TGFB1_ACVR1C_TGFBR2,TGFB1_ACVR1C_TGFBR2,TGFb,0.002157402,0.000356648,0.00044685,0.001035604
TGFB2_ACVR1B_TGFBR2,TGFB2_ACVR1B_TGFBR2,TGFb,0,0,2.23E-05,0
TGFB2_ACVR1C_TGFBR2,TGFB2_ACVR1C_TGFBR2,TGFb,0,0,1.60E-05,0
TGFB3_ACVR1B_TGFBR2,TGFB3_ACVR1B_TGFBR2,TGFb,0.000696428,0.000554785,0.000335137,0.000376583
TGFB3_ACVR1C_TGFBR2,TGFB3_ACVR1C_TGFBR2,TGFb,0.000520752,0.000312067,0.000239384,0.000376583
TGFB1_ACVR1_TGFBR1,TGFB1_ACVR1_TGFBR1,TGFb,0.001793503,0.001089756,0.002167222,0.002965594
TGFB2_ACVR1_TGFBR1,TGFB2_ACVR1_TGFBR1,TGFb,0,0,7.74E-05,0
TGFB3_ACVR1_TGFBR1,TGFB3_ACVR1_TGFBR1,TGFb,0.000432914,0.000953537,0.001161012,0.001078398
BMP2_BMPR1A_ACVR2A,BMP2_BMPR1A_ACVR2A,BMP,0,0,0,0
BMP2_BMPR1A_ACVR2B,BMP2_BMPR1A_ACVR2B,BMP,0,0,0,0
BMP2_BMPR1A_BMPR2,BMP2_BMPR1A_BMPR2,BMP,0,0,0,0
BMP2_BMPR1B_ACVR2A,BMP2_BMPR1B_ACVR2A,BMP,0,0,0,0
BMP2_BMPR1B_ACVR2B,BMP2_BMPR1B_ACVR2B,BMP,0,0,0,0
BMP2_BMPR1B_BMPR2,BMP2_BMPR1B_BMPR2,BMP,0,0,0,0
BMP4_BMPR1A_ACVR2A,BMP4_BMPR1A_ACVR2A,BMP,0,0,0,0
BMP4_BMPR1A_ACVR2B,BMP4_BMPR1A_ACVR2B,BMP,0,0,0,0
BMP4_BMPR1A_BMPR2,BMP4_BMPR1A_BMPR2,BMP,0,0,0,0
BMP4_BMPR1B_ACVR2A,BMP4_BMPR1B_ACVR2A,BMP,0,0,0,0
BMP4_BMPR1B_ACVR2B,BMP4_BMPR1B_ACVR2B,BMP,0,0,0,0
BMP4_BMPR1B_BMPR2,BMP4_BMPR1B_BMPR2,BMP,0,0,0,0
GDF5_BMPR1A_ACVR2A,GDF5_BMPR1A_ACVR2A,BMP,0,0,0,0
GDF5_BMPR1A_ACVR2B,GDF5_BMPR1A_ACVR2B,BMP,0,0,0,0
GDF5_BMPR1A_BMPR2,GDF5_BMPR1A_BMPR2,BMP,0,0,0,0
GDF5_BMPR1B_ACVR2A,GDF5_BMPR1B_ACVR2A,BMP,0,0,0,0
GDF5_BMPR1B_ACVR2B,GDF5_BMPR1B_ACVR2B,BMP,0,0,0,0
GDF5_BMPR1B_BMPR2,GDF5_BMPR1B_BMPR2,BMP,0,0,0,0
GDF6_BMPR1A_ACVR2A,GDF6_BMPR1A_ACVR2A,BMP,0,0,0,0
GDF6_BMPR1A_ACVR2B,GDF6_BMPR1A_ACVR2B,BMP,0,0,0,0
GDF6_BMPR1A_BMPR2,GDF6_BMPR1A_BMPR2,BMP,0,0,0,0
GDF6_BMPR1B_ACVR2A,GDF6_BMPR1B_ACVR2A,BMP,0,0,0,0
GDF6_BMPR1B_ACVR2B,GDF6_BMPR1B_ACVR2B,BMP,0,0,0,0
GDF6_BMPR1B_BMPR2,GDF6_BMPR1B_BMPR2,BMP,0,0,0,0
GDF7_BMPR1A_ACVR2A,GDF7_BMPR1A_ACVR2A,BMP,0,0,0,0
GDF7_BMPR1A_ACVR2B,GDF7_BMPR1A_ACVR2B,BMP,0,0,0,0
GDF7_BMPR1A_BMPR2,GDF7_BMPR1A_BMPR2,BMP,0,0,0,0
GDF7_BMPR1B_ACVR2A,GDF7_BMPR1B_ACVR2A,BMP,0,0,0,0
GDF7_BMPR1B_ACVR2B,GDF7_BMPR1B_ACVR2B,BMP,0,0,0,0
GDF7_BMPR1B_BMPR2,GDF7_BMPR1B_BMPR2,BMP,0,0,0,0
BMP5_ACVR1_ACVR2A,BMP5_ACVR1_ACVR2A,BMP,6.18E-05,0,7.74E-05,0
BMP5_ACVR1_ACVR2B,BMP5_ACVR1_ACVR2B,BMP,5.02E-05,0,6.78E-05,0
BMP5_ACVR1_BMPR2,BMP5_ACVR1_BMPR2,BMP,6.18E-05,0,7.74E-05,0
BMP5_BMPR1A_ACVR2A,BMP5_BMPR1A_ACVR2A,BMP,0.000286817,0,0.000522655,0
BMP5_BMPR1A_ACVR2B,BMP5_BMPR1A_ACVR2B,BMP,5.02E-05,0,6.78E-05,0
BMP5_BMPR1A_BMPR2,BMP5_BMPR1A_BMPR2,BMP,0.000286817,0,0.000343915,0
BMP5_BMPR1B_ACVR2A,BMP5_BMPR1B_ACVR2A,BMP,3.50E-05,0,2.87E-05,0
